sbj_schedule_code,sbj_code,sbj_description,sbj_unit,sbj_year,sbj_section,sbj_course,sbj_sem,sbj_sy
6999,DEM 408,HUMAN RESOURCE MANAGEMENT IN EDUCATION,3,4TH,A,DEM,2ND,2015-2016
6998,DEM 407,MANAGEMENT OF CURRICULUM AND INSTRUCTION,3,4TH,A,DEM,2ND,2015-2016
6997,DEM 406,HUMAN RELATIONS IN EDUCATIONAL MANAGEMENT,3,4TH,A,DEM,2ND,2015-2016
6996,DEM 405,COMPARATIVE IN EDUCATIONAL ADMINISTRATION,3,4TH,A,DEM,2ND,2015-2016
6995,DEM 404,MANAGEMENT  OF SCHOOL SYSTEM,3,4TH,A,DEM,2ND,2015-2016
6994,DEM 403,ADVANCED PHILOSOPHICAL PERSPECTIVES IN EDUCATION,3,4TH,A,DEM,2ND,2015-2016
6993,DEM 402,ADVANCED STATISTICS IN EDUCATIONAL MANAGEMENT,3,4TH,A,DEM,2ND,2015-2016
6992,DEM 401,ADVANCED RESEARCH METHODS IN EDUCATION,3,4TH,A,DEM,2ND,2015-2016
6991,,,,,,,,
6990,DPA 430,DISSERTATION WRITING,12,4TH,A,DPA,2ND,2015-2016
6989,DPA 420,SEMINAR IN DISSERTATION WRITING,3,4TH,A,DPA,2ND,2015-2016
6988,DPA 419,SEMINAR IN GOVERNMENT ADMINISTRATION,3,4TH,A,DPA,2ND,2015-2016
6987,DPA 418,SEMINAR IN NATIONAL SECURITY MANAGEMENT,3,4TH,A,DPA,2ND,2015-2016
6986,DPA 417,SEMINAR IN ENVIRONMENT MANAGEMENT,3,4TH,A,DPA,2ND,2015-2016
6985,DPA 416,SEMINAR IN DISASTER RISK REDUCTION AND MANAGEMENT AND CLIMATE CHANGE,3,4TH,A,DPA,2ND,2015-2016
6984,DPA 415,ADVANCED POLITICAL THEORIES AND PROCESSES,3,4TH,A,DPA,2ND,2015-2016
6983,DPA 414,PUBLIC-PRIVATE PARTNERSHIP,3,4TH,A,DPA,2ND,2015-2016
6982,DPA 413,URBAN PLANNING AND DEVELOPMENT,3,4TH,A,DPA,2ND,2015-2016
6981,DPA 412,LOCAL AND NATIONAL GOVERNMENT ADMINISTRATION,3,4TH,A,DPA,2ND,2015-2016
6980,DPA 411,COMPARATIVE PUBLIC ADMINISTRATION,3,4TH,A,DPA,2ND,2015-2016
6979,DPA 410,ORGANIZATIONAL DEVELOPMENT IN THE PUBLIC SECTOR,3,4TH,A,DPA,2ND,2015-2016
6978,DPA 409 ,PHILIPPINE CIVIL SERVICE AND BUREAUCRACY,3,4TH,A,DPA,2ND,2015-2016
6977,DPA 408,ADVANCED PUBLIC FINANCE,3,4TH,A,DPA,2ND,2015-2016
6976,DPA 407,ADVANCED PERSONNEL MANAGEMENT,3,4TH,A,DPA,2ND,2015-2016
6975,DPA 406,ADVANCED PROJECT PLANNING AND IMPLEMENTATION,3,4TH,A,DPA,2ND,2015-2016
6974,DPA 405,ADVANCED PUBLIC FISCAL ADMINISTRATION,3,4TH,A,DPA,2ND,2015-2016
6973,DPA 404,PHILIPPINE GOVERNMENT SYSTEM,3,4TH,A,DPA,2ND,2015-2016
6972,DPA 403,THEORIES OF ADMINISTRATIVE SYSTEM,3,4TH,A,DPA,2ND,2015-2016
6971,DPA 402,ADVANCED STATISTICS AND QUANTITATIVE TECHNIQUES IN PUBLIC ADMINISTRATION,3,4TH,A,DPA,2ND,2015-2016
6970,DPA 401,ADVANCED RESEARCH METHODS AND TECHNIQUES IN PUBLIC ADMINISTRATION,3,4TH,A,DPA,2ND,2015-2016
6969,,,,,,,,
6968,TW 320,THESIS WRITING,6,4TH,A,MSC,2ND,2015-2016
6967,STW 320,SEMINAR IN THESIS WRITING,3,4TH,A,MSC,2ND,2015-2016
6966,MSC 316,DEVIANT BEHAVIOR,3,4TH,A,MSC,2ND,2015-2016
6965,MSC 315,ADMINISTRATION OF JUSTICE,3,4TH,A,MSC,2ND,2015-2016
6964,MSC 314,DOMESTIC VIOLENCE ,3,4TH,A,MSC,2ND,2015-2016
6963,MSC 313,PSYCHOLOGY OF CRIME,3,4TH,A,MSC,2ND,2015-2016
6962,MSC 312,SPECIAL PENAL LAW IN THE PHILIPPINES,3,4TH,A,MSC,2ND,2015-2016
6961,MSC 311,"PROBLEMS IN CRIMINAL LAW, PROCEDURES AND EVIDENCE",3,4TH,A,MSC,2ND,2015-2016
6960,MSC 310,SCIENCE OF CRIMINALISITICS,3,4TH,A,MSC,2ND,2015-2016
6959,MSC 309,MODERN PENOLOGY,3,4TH,A,MSC,2ND,2015-2016
6958,MSC 308,VICTIMOLOGY,3,4TH,A,MSC,2ND,2015-2016
6957,MSC 307,JUVENILE JUSTICE AND DELINQUENCY,3,4TH,A,MSC,2ND,2015-2016
6956,MSC 306,CRISIS INTERVENTION MANAGEMENT,3,4TH,A,MSC,2ND,2015-2016
6955,MSC 305,ECONOMIC CRIMES,3,4TH,A,MSC,2ND,2015-2016
6954,MSC 304,TRANSNATIONAL CRIMES AND TERRORISM,3,4TH,A,MSC,2ND,2015-2016
6953,MSC 303,FOUNDATION OF CRIMINOLOGY,3,4TH,A,MSC,2ND,2015-2016
