sbj_schedule_code,sbj_code,sbj_description,sbj_unit,sbj_year,sbj_section,sbj_course,sbj_sem,sbj_sy
6755,PS 322,QUANTITATIVE ANALYSIS OF POL. DATA,3,3RD,B,AB POLSCI,2ND,2015-2016
6754,PS 411,HUMAN RIGHTS SITUATION IN THE PHILIPPINES,3,3RD,B,AB POLSCI,2ND,2015-2016
6753,,,,,,,,
6752,PS 424,INTERNATIONAL LAW,3,3RD,A,AB POLSCI,2ND,2015-2016
6751,PS A2,DIPLOMATIC AND CONSULAR PRACTICES,3,3RD,A,AB POLSCI,2ND,2015-2016
6750,LAW 003,PARTNERSHIP AND CORPORATION,3,3RD,A,AB POLSCI,2ND,2015-2016
6749,PS A3,PHILIPPINE FOREIGN RELATION,3,3RD,A,AB POLSCI,2ND,2015-2016
6748,PS 325,PHILIPPINE POL PARTIES AND MOVEMENT,3,3RD,A,AB POLSCI,2ND,2015-2016
6747,PS 324,LOCAL GOVT OF THE PHILIPPINES,3,3RD,A,AB POLSCI,2ND,2015-2016
6746,PS 322,QUANTITATIVE ANALYSIS OF POL. DATA,3,3RD,A,AB POLSCI,2ND,2015-2016
6745,PS 411,HUMAN RIGHTS SITUATION IN THE PHILIPPINES,3,3RD,A,AB POLSCI,2ND,2015-2016
6744,,,,,,,,
6743,PE 004,TEAM SPORTS,2,2ND,C,AB POLSCI,2ND,2015-2016
6742,LIT 001,WORLD LITERATURE,3,2ND,C,AB POLSCI,2ND,2015-2016
6741,A3,PARLIAMENTARY PROCEDURE,3,2ND,C,AB POLSCI,2ND,2015-2016
6740,SS 314,SOCIOLOGY AND ANTHROPOLOGY,3,2ND,C,AB POLSCI,2ND,2015-2016
6739,PS 223,GOVERNMENT  AND POLITICS OF SOUTHEAST ASIA,3,2ND,C,AB POLSCI,2ND,2015-2016
6738,PS 222,INTRO TO COMPARATIVE GOVERNMENT AND POLITICS,3,2ND,C,AB POLSCI,2ND,2015-2016
6737,ENG 004,BCTRW,3,2ND,C,AB POLSCI,2ND,2015-2016
6736,SS 003,ECONOMICS WITH LRT,3,2ND,C,AB POLSCI,2ND,2015-2016
6735,,,,,,,,
6734,PE 004,TEAM SPORTS,2,2ND,B,AB POLSCI,2ND,2015-2016
6733,LIT 001,WORLD LITERATURE,3,2ND,B,AB POLSCI,2ND,2015-2016
6732,A3,PARLIAMENTARY PROCEDURE,3,2ND,B,AB POLSCI,2ND,2015-2016
6731,SS 314,SOCIOLOGY AND ANTHROPOLOGY,3,2ND,B,AB POLSCI,2ND,2015-2016
6730,PS 223,GOVERNMENT  AND POLITICS OF SOUTHEAST ASIA,3,2ND,B,AB POLSCI,2ND,2015-2016
6729,PS 222,INTRO TO COMPARATIVE GOVERNMENT AND POLITICS,3,2ND,B,AB POLSCI,2ND,2015-2016
6728,ENG 004,BCTRW,3,2ND,B,AB POLSCI,2ND,2015-2016
6727,SS 003,ECONOMICS WITH LRT,3,2ND,B,AB POLSCI,2ND,2015-2016
6726,,,,,,,,
6725,PE 004,TEAM SPORTS,2,2ND,A,AB POLSCI,2ND,2015-2016
6724,LIT 001,WORLD LITERATURE,3,2ND,A,AB POLSCI,2ND,2015-2016
6723,A3,PARLIAMENTARY PROCEDURE,3,2ND,A,AB POLSCI,2ND,2015-2016
6722,SS 314,SOCIOLOGY AND ANTHROPOLOGY,3,2ND,A,AB POLSCI,2ND,2015-2016
6721,PS 223,GOVERNMENT  AND POLITICS OF SOUTHEAST ASIA,3,2ND,A,AB POLSCI,2ND,2015-2016
6720,PS 222,INTRO TO COMPARATIVE GOVERNMENT AND POLITICS,3,2ND,A,AB POLSCI,2ND,2015-2016
6719,ENG 004,BCTRW,3,2ND,A,AB POLSCI,2ND,2015-2016
6718,SS 003,ECONOMICS WITH LRT,3,2ND,A,AB POLSCI,2ND,2015-2016
6717,,,,,,,,
6716,NSTP 122,CWTS II,3,1ST,C,AB POLSCI,2ND,2015-2016
6715,PE 002,RHYTHMIC ACTIVITIES,2,1ST,C,AB POLSCI,2ND,2015-2016
6714,PS 212,INTRO TO PHILIPPINE GOVERNMENT AND POLITICS,3,1ST,C,AB POLSCI,2ND,2015-2016
6713,NSC 002,BIOLOGICAL SCIENCE,3,1ST,C,AB POLSCI,2ND,2015-2016
6712,MAN 001,PHILIPPINE HISTORY,3,1ST,C,AB POLSCI,2ND,2015-2016
6711,LIT 001,INTRO TO LITERATURE,3,1ST,C,AB POLSCI,2ND,2015-2016
6710,MTH 224,STATISTICS,3,1ST,C,AB POLSCI,2ND,2015-2016
6709,FIL 122,PAGBASA AT PAGSULAT TUNGO SA PANANALIKSIK,3,1ST,C,AB POLSCI,2ND,2015-2016
6708,ENG 002,WRITING IN THE DISCIPLINE,3,1ST,C,AB POLSCI,2ND,2015-2016
6707,,,,,,,,
6706,NSTP 122,CWTS II,3,1ST,B,AB POLSCI,2ND,2015-2016
6705,PE 002,RHYTHMIC ACTIVITIES,2,1ST,B,AB POLSCI,2ND,2015-2016
6704,PS 212,INTRO TO PHILIPPINE GOVERNMENT AND POLITICS,3,1ST,B,AB POLSCI,2ND,2015-2016
6703,NSC 002,BIOLOGICAL SCIENCE,3,1ST,B,AB POLSCI,2ND,2015-2016
6702,MAN 001,PHILIPPINE HISTORY,3,1ST,B,AB POLSCI,2ND,2015-2016
6701,LIT 001,INTRO TO LITERATURE,3,1ST,B,AB POLSCI,2ND,2015-2016
6700,MTH 224,STATISTICS,3,1ST,B,AB POLSCI,2ND,2015-2016
6699,FIL 122,PAGBASA AT PAGSULAT TUNGO SA PANANALIKSIK,3,1ST,B,AB POLSCI,2ND,2015-2016
6698,ENG 002,WRITING IN THE DISCIPLINE,3,1ST,B,AB POLSCI,2ND,2015-2016
6697,,,,,,,,
6696,NSTP 122,CWTS II,3,1ST,A,AB POLSCI,2ND,2015-2016
6695,PE 002,RHYTHMIC ACTIVITIES,2,1ST,A,AB POLSCI,2ND,2015-2016
6694,PS 212,INTRO TO PHILIPPINE GOVERNMENT AND POLITICS,3,1ST,A,AB POLSCI,2ND,2015-2016
6693,NSC 002,BIOLOGICAL SCIENCE,3,1ST,A,AB POLSCI,2ND,2015-2016
6692,MAN 001,PHILIPPINE HISTORY,3,1ST,A,AB POLSCI,2ND,2015-2016
6691,LIT 001,INTRO TO LITERATURE,3,1ST,A,AB POLSCI,2ND,2015-2016
6690,MTH 224,STATISTICS,3,1ST,A,AB POLSCI,2ND,2015-2016
6689,FIL 122,PAGBASA AT PAGSULAT TUNGO SA PANANALIKSIK,3,1ST,A,AB POLSCI,2ND,2015-2016
6688,ENG 002,WRITING IN THE DISCIPLINE,3,1ST,A,AB POLSCI,2ND,2015-2016
6687,,,,,,,,
6686,OJT 421,POLICE INTERNSHIP 2,3,4TH,B,BSCRI,2ND,2015-2016
6685,PE DT 005,PHYSICAL FITNESS TEST/AGIBILITY,3,4TH,B,BSCRI,2ND,2015-2016
6684,PBR 001,PRE-BOARD,4,4TH,B,BSCRI,2ND,2015-2016
6683,LEA 014,FIRE TECHNOLOGY AND ARSON INVESTIGATION,3,4TH,B,BSCRI,2ND,2015-2016
6682,LEA 013,ORGANIZED CRIME INVESTIGATION,3,4TH,B,BSCRI,2ND,2015-2016
6681,LEA 010,POLICE INTELLIGENCE,3,4TH,B,BSCRI,2ND,2015-2016
6680,LEA 009,POLICE COMMUNICATION SYSTEM,3,4TH,B,BSCRI,2ND,2015-2016
6679,,,,,,,,
6678,OJT 421,POLICE INTERNSHIP 2,3,4TH,A,BSCRI,2ND,2015-2016
6677,PE DT 005,PHYSICAL FITNESS TEST/AGIBILITY,3,4TH,A,BSCRI,2ND,2015-2016
6676,PBR 001,PRE-BOARD,4,4TH,A,BSCRI,2ND,2015-2016
6675,LEA 014,FIRE TECHNOLOGY AND ARSON INVESTIGATION,3,4TH,A,BSCRI,2ND,2015-2016
6674,LEA 013,ORGANIZED CRIME INVESTIGATION,3,4TH,A,BSCRI,2ND,2015-2016
6673,LEA 010,POLICE INTELLIGENCE,3,4TH,A,BSCRI,2ND,2015-2016
6672,LEA 009,POLICE COMMUNICATION SYSTEM,3,4TH,A,BSCRI,2ND,2015-2016
6671,,,,,,,,
6670,CLJ 324,CRIMINAL EVIDENCE,3,3RD,B,BSCRI,2ND,2015-2016
6669,PLEB 001,PEOPLES LAW ENFORCEMENT BOARD,3,3RD,B,BSCRI,2ND,2015-2016
6668,COR 002,NON-INSTITUTIONAL CORRECTION,3,3RD,B,BSCRI,2ND,2015-2016
6667,CRI 006,POLYGRAPHY,4,3RD,B,BSCRI,2ND,2015-2016
6666,CRI 005,LEGAL MEDICINE,3,3RD,B,BSCRI,2ND,2015-2016
6665,CRI 004,QUESTIONED DOCUMENTS EXAMINATIONS,4,3RD,B,BSCRI,2ND,2015-2016
6664,LEA 006,TRAFFIC MANAGEMENT AND ACCIDENT INVESTIGATION,3,3RD,B,BSCRI,2ND,2015-2016
6663,LEA 005,FUNDAMENTALS OF CRIMINAL INVESTIGATION,3,3RD,B,BSCRI,2ND,2015-2016
6662,,,,,,,,
6661,CLJ 324,CRIMINAL EVIDENCE,3,3RD,A,BSCRI,2ND,2015-2016
6660,PLEB 001,PEOPLES LAW ENFORCEMENT BOARD,3,3RD,A,BSCRI,2ND,2015-2016
6659,COR 002,NON-INSTITUTIONAL CORRECTION,3,3RD,A,BSCRI,2ND,2015-2016
6658,CRI 006,POLYGRAPHY,4,3RD,A,BSCRI,2ND,2015-2016
6657,CRI 005,LEGAL MEDICINE,3,3RD,A,BSCRI,2ND,2015-2016
6656,CRI 004,QUESTIONED DOCUMENTS EXAMINATIONS,4,3RD,A,BSCRI,2ND,2015-2016
6655,LEA 006,TRAFFIC MANAGEMENT AND ACCIDENT INVESTIGATION,3,3RD,A,BSCRI,2ND,2015-2016
6654,LEA 005,FUNDAMENTALS OF CRIMINAL INVESTIGATION,3,3RD,A,BSCRI,2ND,2015-2016
6653,,,,,,,,
6652,PE DT 004,COMBAT KARATE JUDO,2,2ND,D,BSCRI,2ND,2015-2016
6651,CLJ 222,CRIMINAL LAW (BOOK 2),3,2ND,D,BSCRI,2ND,2015-2016
6650,PHI 002,ETHICS,3,2ND,D,BSCRI,2ND,2015-2016
6649,MAN 002,"RIZAL'S LIFE, WORKS AND WRITINGS",3,2ND,D,BSCRI,2ND,2015-2016
6648,ACC 111,FUNDAMENTALS OF ACCOUNTING,3,2ND,D,BSCRI,2ND,2015-2016
6647,CSE 003,HUMAN BEHAVIOR AND CRISIS MGT.,3,2ND,D,BSCRI,2ND,2015-2016
6646,LEA 003,POLICE PATROL PLANS AND OPERATION,3,2ND,D,BSCRI,2ND,2015-2016
6645,NSC 211,GENERAL CHEMISTRY,5,2ND,D,BSCRI,2ND,2015-2016
6644,ENG 004,TECHNICAL REPORT WRITING,3,2ND,D,BSCRI,2ND,2015-2016
6643,,,,,,,,
6642,PE DT 004,COMBAT KARATE JUDO,2,2ND,C,BSCRI,2ND,2015-2016
6641,CLJ 222,CRIMINAL LAW (BOOK 2),3,2ND,C,BSCRI,2ND,2015-2016
6640,PHI 002,ETHICS,3,2ND,C,BSCRI,2ND,2015-2016
6639,MAN 002,"RIZAL'S LIFE, WORKS AND WRITINGS",3,2ND,C,BSCRI,2ND,2015-2016
6638,ACC 111,FUNDAMENTALS OF ACCOUNTING,3,2ND,C,BSCRI,2ND,2015-2016
6637,CSE 003,HUMAN BEHAVIOR AND CRISIS MGT.,3,2ND,C,BSCRI,2ND,2015-2016
6636,LEA 003,POLICE PATROL PLANS AND OPERATION,3,2ND,C,BSCRI,2ND,2015-2016
6635,NSC 211,GENERAL CHEMISTRY,5,2ND,C,BSCRI,2ND,2015-2016
6634,ENG 004,TECHNICAL REPORT WRITING,3,2ND,C,BSCRI,2ND,2015-2016
6624,,,,,,,,
6623,PE DT 004,COMBAT KARATE JUDO,2,2ND,B,BSCRI,2ND,2015-2016
6622,CLJ 222,CRIMINAL LAW (BOOK 2),3,2ND,B,BSCRI,2ND,2015-2016
6621,PHI 002,ETHICS,3,2ND,B,BSCRI,2ND,2015-2016
6620,MAN 002,"RIZAL'S LIFE, WORKS AND WRITINGS",3,2ND,B,BSCRI,2ND,2015-2016
6619,ACC 111,FUNDAMENTALS OF ACCOUNTING,3,2ND,B,BSCRI,2ND,2015-2016
6618,CSE 003,HUMAN BEHAVIOR AND CRISIS MGT.,3,2ND,B,BSCRI,2ND,2015-2016
6617,LEA 003,POLICE PATROL PLANS AND OPERATION,3,2ND,B,BSCRI,2ND,2015-2016
6616,NSC 211,GENERAL CHEMISTRY,5,2ND,B,BSCRI,2ND,2015-2016
6615,ENG 004,TECHNICAL REPORT WRITING,3,2ND,B,BSCRI,2ND,2015-2016
6614,,,,,,,,
6613,PE DT 004,COMBAT KARATE JUDO,2,2ND,A,BSCRI,2ND,2015-2016
6612,CLJ 222,CRIMINAL LAW (BOOK 2),3,2ND,A,BSCRI,2ND,2015-2016
6611,PHI 002,ETHICS,3,2ND,A,BSCRI,2ND,2015-2016
6610,MAN 002,"RIZAL'S LIFE, WORKS AND WRITINGS",3,2ND,A,BSCRI,2ND,2015-2016
6609,ACC 111,FUNDAMENTALS OF ACCOUNTING,3,2ND,A,BSCRI,2ND,2015-2016
6608,CSE 003,HUMAN BEHAVIOR AND CRISIS MGT.,3,2ND,A,BSCRI,2ND,2015-2016
6607,LEA 003,POLICE PATROL PLANS AND OPERATION,3,2ND,A,BSCRI,2ND,2015-2016
6606,NSC 211,GENERAL CHEMISTRY,5,2ND,A,BSCRI,2ND,2015-2016
6605,ENG 004,TECHNICAL REPORT WRITING,3,2ND,A,BSCRI,2ND,2015-2016
6604,,,,,,,,
6603,MS 2,MILITARY SCIENCE,3,1ST,B,BSCRI,2ND,2015-2016
6602,PE DT 002,"FIRST AID, WATER SAFETY AND DISASTER PREPAREDNESS",2,1ST,B,BSCRI,2ND,2015-2016
6601,COM 002,BASIC PRODUCTIVE SCIENCE,3,1ST,B,BSCRI,2ND,2015-2016
6600,NSC 001,PHYSICAL SCIENCE,3,1ST,B,BSCRI,2ND,2015-2016
6599,SSC 004,SOCIOLOGY AND ANTHROPOLOGY,3,1ST,B,BSCRI,2ND,2015-2016
6598,SSC 003,ECONOMICS WITH LRT,3,1ST,B,BSCRI,2ND,2015-2016
6597,LEA 001,PHILIPPINE CRIMINAL JUSTICE SYSTEM,3,1ST,B,BSCRI,2ND,2015-2016
6596,MTH 122,PLANE TRIGONOMETRY,3,1ST,B,BSCRI,2ND,2015-2016
6595,FIL 002,PAGBASA AT PAGSULAT,3,1ST,B,BSCRI,2ND,2015-2016
6594,ENG 002,WRITING IN THE DISCIPLINE,3,1ST,B,BSCRI,2ND,2015-2016
6593,,,,,,,,
6592,MS 2,MILITARY SCIENCE,3,1ST,A,BSCRI,2ND,2015-2016
6591,PE DT 002,"FIRST AID, WATER SAFETY AND DISASTER PREPAREDNESS",2,1ST,A,BSCRI,2ND,2015-2016
6590,COM 002,BASIC PRODUCTIVE SCIENCE,3,1ST,A,BSCRI,2ND,2015-2016
6589,NSC 001,PHYSICAL SCIENCE,3,1ST,A,BSCRI,2ND,2015-2016
6588,SSC 004,SOCIOLOGY AND ANTHROPOLOGY,3,1ST,A,BSCRI,2ND,2015-2016
6587,SSC 003,ECONOMICS WITH LRT,3,1ST,A,BSCRI,2ND,2015-2016
6586,LEA 001,PHILIPPINE CRIMINAL JUSTICE SYSTEM,3,1ST,A,BSCRI,2ND,2015-2016
6585,MTH 122,PLANE TRIGONOMETRY,3,1ST,A,BSCRI,2ND,2015-2016
6584,FIL 002,PAGBASA AT PAGSULAT,3,1ST,A,BSCRI,2ND,2015-2016
6583,ENG 002,WRITING IN THE DISCIPLINE,3,1ST,A,BSCRI,2ND,2015-2016
6582,,,,,,,,
6581,EDUC 421,PRACTICE TEACHING,6,4TH,A,BEED,2ND,2015-2016
6580,ECED 18B,RESEARCH IN PRE-SCHOOL EDUCATION,3,4TH,A,BEED,2ND,2015-2016
6579,ECED 19,MULTIPLE INTELLIGENCE IN EARLY CHILDHOOD,3,4TH,A,BEED,2ND,2015-2016
6578,,,,,,,,
6577,ECED 16,HOME SCHOOL RELATIONSHIP,3,3RD,B,BEED,2ND,2015-2016
6576,ECED 15,TECHNOLOGY IN PRE-SCHOOL EDUCATION,3,3RD,B,BEED,2ND,2015-2016
6575,ECED 14,ORGANIZATION AND MNGT. OF CHILD DEV. PROGRAM,3,3RD,B,BEED,2ND,2015-2016
6574,ECED 13,GUIDANCE AND COUNSELING IN PRE-SCHOOL EDUCATION,3,3RD,B,BEED,2ND,2015-2016
6573,ECED 12,CLASSROOM MANAGEMENT,3,3RD,B,BEED,2ND,2015-2016
6572,ECED 11,ASSESSING BEHAVIOR OF YOUNG CHILDREN,3,3RD,B,BEED,2ND,2015-2016
6571,MSC 142,DEVELOPMENTAL READING 2,3,3RD,B,BEED,2ND,2015-2016
6570,TCC 004, THE TEACHING PROFESSION,3,3RD,B,BEED,2ND,2015-2016
6569,MSC 122,ASSESSMENT OF STUDENT LEARNING 2,3,3RD,B,BEED,2ND,2015-2016
6568,,,,,,,,
6567,ECED 16,HOME SCHOOL RELATIONSHIP,3,3RD,A,BEED,2ND,2015-2016
6566,ECED 15,TECHNOLOGY IN PRE-SCHOOL EDUCATION,3,3RD,A,BEED,2ND,2015-2016
6565,ECED 14,ORGANIZATION AND MNGT. OF CHILD DEV. PROGRAM,3,3RD,A,BEED,2ND,2015-2016
6564,ECED 13,GUIDANCE AND COUNSELING IN PRE-SCHOOL EDUCATION,3,3RD,A,BEED,2ND,2015-2016
6563,ECED 12,CLASSROOM MANAGEMENT,3,3RD,A,BEED,2ND,2015-2016
6562,ECED 11,ASSESSING BEHAVIOR OF YOUNG CHILDREN,3,3RD,A,BEED,2ND,2015-2016
6561,MSC 142,DEVELOPMENTAL READING 2,3,3RD,A,BEED,2ND,2015-2016
6560,TCC 004, THE TEACHING PROFESSION,3,3RD,A,BEED,2ND,2015-2016
6559,MSC 122,ASSESSMENT OF STUDENT LEARNING 2,3,3RD,A,BEED,2ND,2015-2016
6558,,,,,,,,
6557,PE 004,METHODS AND STRATEGIES IN TEACHING PE,3,2ND,A,BEED,2ND,2015-2016
6556,ECED 6,LANGUAGE AND NUMERACY FOR YOUNG CHILDREN,3,2ND,A,BEED,2ND,2015-2016
6555,ECED 5,PERSONAL AND SOCIAL DEVELOPMENT,3,2ND,A,BEED,2ND,2015-2016
6554,ECED 4,CREATIVE ARTS MUSIC AND DRAMS FOR YOUNG CHILDREN,3,2ND,A,BEED,2ND,2015-2016
6553,TCC 002,FACILITATING LEARNING,3,2ND,A,BEED,2ND,2015-2016
6552,MSC 132,EDUC. TECHNOLOGY 2,3,2ND,A,BEED,2ND,2015-2016
6551,MTH 224B,STATISTICS AND PROBABILITY,3,2ND,A,BEED,2ND,2015-2016
6550,ECO 111,ECONOMICS WITH LRT,3,2ND,A,BEED,2ND,2015-2016
6549,SSC 005,SOCIETY AND CULTURE W/ FAMILY PLANNING,3,2ND,A,BEED,2ND,2015-2016
6548,,,,,,,,
6547,NSTP 112,NSTP,2,1ST,B,BEED,2ND,2015-2016
6546,PE 002,RHYTHMIC ACTIVITIES,3,1ST,B,BEED,2ND,2015-2016
6545,SSC 002,PHILIPPINE GOVERNMENT AND NEW CONSTITUTION,3,1ST,B,BEED,2ND,2015-2016
6544,LIT 003,WORLD LITERATURE,3,1ST,B,BEED,2ND,2015-2016
6543,COM 111,INTRODUCTION TO COMPUTER,3,1ST,B,BEED,2ND,2015-2016
6542,MAN 002,"RIZAL'S LIFE,WORK AND WRITINGS",3,1ST,B,BEED,2ND,2015-2016
6541,MTE 002,CONTEMPORARY MATHEMATICS,3,1ST,B,BEED,2ND,2015-2016
6540,NSC 002,BIOLOGICAL SCIENCE,3,1ST,B,BEED,2ND,2015-2016
6539,FIL 122,PAGBASA AT PAGSULAT TUNGO SA PANANALIKSIK,3,1ST,B,BEED,2ND,2015-2016
6538,ENG 002,WRITING IN THE DISCIPLINE,3,1ST,B,BEED,2ND,2015-2016
6537,,,,,,,,
6536,NSTP 112,NSTP,2,1ST,A,BEED,2ND,2015-2016
6535,PE 002,RHYTHMIC ACTIVITIES,3,1ST,A,BEED,2ND,2015-2016
6534,SSC 002,PHILIPPINE GOVERNMENT AND NEW CONSTITUTION,3,1ST,A,BEED,2ND,2015-2016
6533,LIT 003,WORLD LITERATURE,3,1ST,A,BEED,2ND,2015-2016
6532,COM 111,INTRODUCTION TO COMPUTER,3,1ST,A,BEED,2ND,2015-2016
6531,MAN 002,"RIZAL'S LIFE,WORK AND WRITINGS",3,1ST,A,BEED,2ND,2015-2016
6530,MTE 002,CONTEMPORARY MATHEMATICS,3,1ST,A,BEED,2ND,2015-2016
6529,NSC 002,BIOLOGICAL SCIENCE,3,1ST,A,BEED,2ND,2015-2016
6528,FIL 122,PAGBASA AT PAGSULAT TUNGO SA PANANALIKSIK,3,1ST,A,BEED,2ND,2015-2016
6527,ENG 002,WRITING IN THE DISCIPLINE,3,1ST,A,BEED,2ND,2015-2016
6526,,,,,,,,
6525,EDU 421,PRACTICE TEACHING,6,4TH,A,BSE-SCI,2ND,2015-2016
6524,MBS 322,BIOLOGICAL CHEMISTRY,5,4TH,A,BSE-SCI,2ND,2015-2016
6523,MSC 001,CURRICULUM DEVELOPMENT,3,4TH,A,BSE-SCI,2ND,2015-2016
6522,MAS 002,ECOLOGY,3,4TH,A,BSE-SCI,2ND,2015-2016
6521,,,,,,,,
6520,RES 312,THESIS IN WRITING(RESEARCH 2),3,3RD,B,BSE-SCI,2ND,2015-2016
6519,MSC 131,EDUCATIONAL TECHNOLOGY 2,3,3RD,B,BSE-SCI,2ND,2015-2016
6518,MSC 122,ASSESSMENT OF STUDENT LEARNING 2,3,3RD,B,BSE-SCI,2ND,2015-2016
6517,MSC 112,PRINCIPLES OF TEACHING 2,3,3RD,B,BSE-SCI,2ND,2015-2016
6516,MPS 223,"PHYSICS 2(OPTICS,ELECTRICITY AND MAGNETISM)",5,3RD,B,BSE-SCI,2ND,2015-2016
6515,MBS 222,ADVANCED INORGANIC & ORGANIC CHEMISTRY(CHEMISTRY 2),5,3RD,B,BSE-SCI,2ND,2015-2016
6514,MBS 321,HUMAN ANATOMY AND PHYSIOLOGY(ZOOLOGY 4),5,3RD,B,BSE-SCI,2ND,2015-2016
6513,,,,,,,,
6512,RES 312,THESIS IN WRITING(RESEARCH 2),3,3RD,A,BSE-SCI,2ND,2015-2016
6511,MSC 131,EDUCATIONAL TECHNOLOGY 2,3,3RD,A,BSE-SCI,2ND,2015-2016
6510,MSC 122,ASSESSMENT OF STUDENT LEARNING 2,3,3RD,A,BSE-SCI,2ND,2015-2016
6509,MSC 112,PRINCIPLES OF TEACHING 2,3,3RD,A,BSE-SCI,2ND,2015-2016
6508,MPS 223,"PHYSICS 2(OPTICS,ELECTRICITY AND MAGNETISM)",5,3RD,A,BSE-SCI,2ND,2015-2016
6507,MBS 222,ADVANCED INORGANIC & ORGANIC CHEMISTRY(CHEMISTRY 2),5,3RD,A,BSE-SCI,2ND,2015-2016
6506,MBS 321,HUMAN ANATOMY AND PHYSIOLOGY(ZOOLOGY 4),5,3RD,A,BSE-SCI,2ND,2015-2016
6505,,,,,,,,
6504,PE 004,TEAM SPORTS,2,2ND,A,BSE-SCI,2ND,2015-2016
6503,MBS 222,PHYSICS FOR HEALTH SCIENCE 2,5,2ND,A,BSE-SCI,2ND,2015-2016
6502,MBS 211,GENERAL ZOOLOGY,5,2ND,A,BSE-SCI,2ND,2015-2016
6501,TCC 002,FACILITATING LEARNING,3,2ND,A,BSE-SCI,2ND,2015-2016
6500,MSC 132,EDUCATIONAL TECHNOLOGY 2,3,2ND,A,BSE-SCI,2ND,2015-2016
6499,MTH 224B,STATISTICS FOR BIOLOGICAL SCIENCE,3,2ND,A,BSE-SCI,2ND,2015-2016
6498,ECO 111,ECONOMICS WITH LRT,3,2ND,A,BSE-SCI,2ND,2015-2016
6497,SSC 005,SOCIETY & CULTURE WITH FAMILY PLANNING,3,2ND,A,BSE-SCI,2ND,2015-2016
6496,,,,,,,,
6495,NSTP 112,NATIONAL SERVICE TRAINING PROGRAM 2,3,1ST,B,BSE-SCI,2ND,2015-2016
6494,PE 002,RHYTHMIC ACTIVITIES,2,1ST,B,BSE-SCI,2ND,2015-2016
6493,SSC 002,PHILIPPINE GOVERNMENT & NEW CONSTITUTION,3,1ST,B,BSE-SCI,2ND,2015-2016
6492,LIT 003,WORLD LITERATURE,3,1ST,B,BSE-SCI,2ND,2015-2016
6491,COM 111,INTRODUCTION TO COMPUTER W/ WINDOWS & INTERNET,3,1ST,B,BSE-SCI,2ND,2015-2016
6490,MAN 002,"RIZAL'S LIFE,WORKS AND WRITING",3,1ST,B,BSE-SCI,2ND,2015-2016
6489,MTE 002,CONTEMPORARY MATH,3,1ST,B,BSE-SCI,2ND,2015-2016
6488,NSC 002,BIOLOGICAL SCIENCE,3,1ST,B,BSE-SCI,2ND,2015-2016
6487,FIL 122,PAGBASA AT PAGSULAT TUNGO SA PANANALIKSIK,3,1ST,B,BSE-SCI,2ND,2015-2016
6486,ENG 002,WRITING IN THE DISCIPLINE,3,1ST,B,BSE-SCI,2ND,2015-2016
6485,,,,,,,,
6484,NSTP 112,NATIONAL SERVICE TRAINING PROGRAM 2,3,1ST,A,BSE-SCI,2ND,2015-2016
6483,PE 002,RHYTHMIC ACTIVITIES,2,1ST,A,BSE-SCI,2ND,2015-2016
6482,SSC 002,PHILIPPINE GOVERNMENT & NEW CONSTITUTION,3,1ST,A,BSE-SCI,2ND,2015-2016
6481,LIT 003,WORLD LITERATURE,3,1ST,A,BSE-SCI,2ND,2015-2016
6480,COM 111,INTRODUCTION TO COMPUTER W/ WINDOWS & INTERNET,3,1ST,A,BSE-SCI,2ND,2015-2016
6479,MAN 002,"RIZAL'S LIFE,WORKS AND WRITING",3,1ST,A,BSE-SCI,2ND,2015-2016
6478,MTE 002,CONTEMPORARY MATH,3,1ST,A,BSE-SCI,2ND,2015-2016
6477,NSC 002,BIOLOGICAL SCIENCE,3,1ST,A,BSE-SCI,2ND,2015-2016
6476,FIL 122,PAGBASA AT PAGSULAT TUNGO SA PANANALIKSIK,3,1ST,A,BSE-SCI,2ND,2015-2016
6475,ENG 002,WRITING IN THE DISCIPLINE,3,1ST,A,BSE-SCI,2ND,2015-2016
6474,,,,,,,,
6473,PSY 424,PRACTICUM 2,3,4TH,B,BS PSYCH,2ND,2015-2016
6472,PSY 423,PHYSIOLOGICAL/BIOPSYCHOLOGY,3,4TH,B,BS PSYCH,2ND,2015-2016
6471,PSY 422,COGNITIVE PSYCHOLOGY,3,4TH,B,BS PSYCH,2ND,2015-2016
6470,PSY 421,RESEARCH IN PSYCH 2,3,4TH,B,BS PSYCH,2ND,2015-2016
6469,,,,,,,,
6468,PSY 424,PRACTICUM 2,3,4TH,A,BS PSYCH,2ND,2015-2016
6467,PSY 423,PHYSIOLOGICAL/BIOPSYCHOLOGY,3,4TH,A,BS PSYCH,2ND,2015-2016
6466,PSY 422,COGNITIVE PSYCHOLOGY,3,4TH,A,BS PSYCH,2ND,2015-2016
6465,PSY 421,RESEARCH IN PSYCH 2,3,4TH,A,BS PSYCH,2ND,2015-2016
6464,,,,,,,,
6463,OFP 001,FUND OF OFFICE PROCEDURES,3,3RD,B,BS PSYCH,2ND,2015-2016
6462,SCI 003,COMPARATIVE VERTEBRAE ANATOMY,5,3RD,B,BS PSYCH,2ND,2015-2016
6461,PSY 324,INTRO TO SOCIAL WORK,3,3RD,B,BS PSYCH,2ND,2015-2016
6460,PSY 323,CHILD PSYCHOLOGY W/ INTRO TO SPED,3,3RD,B,BS PSYCH,2ND,2015-2016
